Date,Client,Time (microseconds)
2023-03-31T08:42:26.477Z,100,3000
2023-03-31T08:42:27.480Z,100,3780
2023-03-31T08:42:28.484Z,100,2490
2023-03-31T08:42:29.488Z,100,2630
2023-03-31T08:42:30.488Z,100,2800
2023-03-31T08:42:31.488Z,100,2950
2023-03-31T08:42:32.490Z,100,3060
2023-03-31T08:42:33.492Z,100,2490
2023-03-31T08:42:34.496Z,100,2400
2023-03-31T08:42:35.496Z,100,4090
2023-03-31T08:42:36.497Z,100,3260
2023-03-31T08:42:37.500Z,100,2820
2023-03-31T08:42:38.500Z,100,2730
2023-03-31T08:42:39.504Z,100,2640
2023-03-31T08:42:40.505Z,100,2910
2023-03-31T08:42:41.508Z,100,3410
2023-03-31T08:42:42.512Z,100,2480
2023-03-31T08:42:43.516Z,100,3830
2023-03-31T08:42:44.516Z,100,2370
2023-03-31T08:42:45.520Z,100,2870
2023-03-31T08:42:46.523Z,100,2910
2023-03-31T08:42:47.524Z,100,2630
2023-03-31T08:42:48.528Z,100,2630
2023-03-31T08:42:49.532Z,100,2440
2023-03-31T08:42:50.536Z,100,3010
2023-03-31T08:42:51.540Z,100,3100
2023-03-31T08:42:52.544Z,100,3060
2023-03-31T08:42:53.544Z,100,2830
2023-03-31T08:42:54.544Z,100,2860
2023-03-31T08:42:55.544Z,100,3920
2023-03-31T08:42:56.548Z,100,3400
2023-03-31T08:42:57.548Z,100,4280
2023-03-31T08:42:58.548Z,100,3970
2023-03-31T08:42:59.551Z,100,3830
2023-03-31T08:43:00.553Z,100,2860
2023-03-31T08:43:01.556Z,100,4280
2023-03-31T08:43:02.556Z,100,3950
2023-03-31T08:43:03.557Z,100,3600
2023-03-31T08:43:04.560Z,100,3250
2023-03-31T08:43:05.564Z,100,3050
2023-03-31T08:43:06.564Z,100,2740
2023-03-31T08:43:07.568Z,100,3390
2023-03-31T08:43:08.568Z,100,3040
2023-03-31T08:43:09.572Z,100,2820
2023-03-31T08:43:10.576Z,100,2490
2023-03-31T08:43:11.580Z,100,2790
2023-03-31T08:43:12.584Z,100,3420
2023-03-31T08:43:13.588Z,100,3290
2023-03-31T08:43:14.592Z,100,3320
2023-03-31T08:43:15.595Z,100,4300
2023-03-31T08:43:16.596Z,100,4430
2023-03-31T08:43:17.596Z,100,3170
2023-03-31T08:43:18.600Z,100,3180
2023-03-31T08:43:19.602Z,100,4090
2023-03-31T08:43:20.604Z,100,3710
2023-03-31T08:43:21.608Z,100,2820
2023-03-31T08:43:22.608Z,100,4060
2023-03-31T08:43:23.611Z,100,4040
2023-03-31T08:43:24.612Z,100,3970
2023-03-31T08:43:25.616Z,100,2870
2023-03-31T08:43:26.620Z,100,3240
2023-03-31T08:43:27.624Z,100,3350
2023-03-31T08:43:28.628Z,100,3600
2023-03-31T08:43:29.632Z,100,4990
2023-03-31T08:43:30.636Z,100,3510
2023-03-31T08:43:31.638Z,100,2920
2023-03-31T08:43:32.640Z,100,3350
2023-03-31T08:43:33.644Z,100,3950
2023-03-31T08:43:34.648Z,100,3450
2023-03-31T08:43:35.652Z,100,4010
2023-03-31T08:43:36.653Z,100,4330
2023-03-31T08:43:37.656Z,100,4350
2023-03-31T08:43:38.656Z,100,3740
2023-03-31T08:43:39.656Z,100,3660
2023-03-31T08:43:40.660Z,100,3090
2023-03-31T08:43:41.664Z,100,3250
2023-03-31T08:43:42.668Z,100,3580
2023-03-31T08:43:43.668Z,100,2810
2023-03-31T08:43:44.668Z,100,2920
2023-03-31T08:43:45.668Z,100,2940
2023-03-31T08:43:46.668Z,100,4040
2023-03-31T08:43:47.669Z,100,4400
2023-03-31T08:43:48.672Z,100,3070
2023-03-31T08:43:49.676Z,100,2630
2023-03-31T08:43:50.680Z,100,4600
2023-03-31T08:43:51.684Z,100,5270
2023-03-31T08:43:52.684Z,100,2780
2023-03-31T08:43:53.684Z,100,2860
2023-03-31T08:43:54.685Z,100,3060
2023-03-31T08:43:55.685Z,100,4740
2023-03-31T08:43:56.688Z,100,4000
2023-03-31T08:43:57.688Z,100,3020
2023-03-31T08:43:58.692Z,100,2650
2023-03-31T08:43:59.692Z,100,5070
2023-03-31T08:44:00.696Z,100,3300
2023-03-31T08:44:01.700Z,100,3520
2023-03-31T08:44:02.700Z,100,4440
2023-03-31T08:44:03.701Z,100,3220
2023-03-31T08:44:04.704Z,100,3310
2023-03-31T08:44:05.708Z,100,2590
2023-03-31T08:44:06.712Z,100,2480
2023-03-31T08:44:07.712Z,100,3170
2023-03-31T08:44:08.717Z,100,2690
2023-03-31T08:44:09.720Z,100,2750
2023-03-31T08:44:10.720Z,100,2890
2023-03-31T08:44:11.720Z,100,2850
2023-03-31T08:44:12.724Z,100,4060
2023-03-31T08:44:13.724Z,100,2890
2023-03-31T08:44:14.728Z,100,2550
2023-03-31T08:44:15.732Z,100,2340
2023-03-31T08:44:16.732Z,100,2440
2023-03-31T08:44:17.733Z,100,4280
2023-03-31T08:44:18.736Z,100,2800
2023-03-31T08:44:19.740Z,100,2670
2023-03-31T08:44:20.744Z,100,2710
2023-03-31T08:44:21.748Z,100,2430
2023-03-31T08:44:22.752Z,100,3030
2023-03-31T08:44:23.756Z,100,2630
2023-03-31T08:44:24.760Z,100,2950
2023-03-31T08:44:25.764Z,100,3870
2023-03-31T08:44:26.768Z,100,3480
2023-03-31T08:44:27.772Z,100,3090
2023-03-31T08:44:28.774Z,100,4110
2023-03-31T08:44:29.776Z,100,3140
2023-03-31T08:44:30.780Z,100,2510
2023-03-31T08:44:31.784Z,100,3990
2023-03-31T08:44:32.788Z,100,2710
2023-03-31T08:44:33.792Z,100,3220
2023-03-31T08:44:34.792Z,100,2540
2023-03-31T08:44:35.792Z,100,2680
2023-03-31T08:44:36.796Z,100,2990
2023-03-31T08:44:37.796Z,100,2550
2023-03-31T08:44:38.800Z,100,3230
2023-03-31T08:44:39.801Z,100,2820
2023-03-31T08:44:40.804Z,100,3690
2023-03-31T08:44:41.808Z,100,2610
2023-03-31T08:44:42.812Z,100,2730
2023-03-31T08:44:43.816Z,100,3320
2023-03-31T08:44:44.817Z,100,3050
2023-03-31T08:44:45.820Z,100,2970
2023-03-31T08:44:46.824Z,100,2860
2023-03-31T08:44:47.828Z,100,2900
2023-03-31T08:44:48.832Z,100,3200
2023-03-31T08:44:49.834Z,100,2680
2023-03-31T08:44:50.836Z,100,2400
2023-03-31T08:44:51.840Z,100,2510
2023-03-31T08:44:52.844Z,100,3170
2023-03-31T08:44:53.849Z,100,3090
2023-03-31T08:44:54.852Z,100,2630
2023-03-31T08:44:55.856Z,100,3050
2023-03-31T08:44:56.856Z,100,2650
2023-03-31T08:44:57.856Z,100,2780
2023-03-31T08:44:58.860Z,100,3000
2023-03-31T08:44:59.860Z,100,2880
2023-03-31T08:45:00.863Z,100,2750
2023-03-31T08:45:01.864Z,100,3180
2023-03-31T08:45:02.868Z,100,2690
2023-03-31T08:45:03.872Z,100,2600
2023-03-31T08:45:04.876Z,100,2790
2023-03-31T08:45:05.880Z,100,3030
2023-03-31T08:45:06.884Z,100,2620
2023-03-31T08:45:07.888Z,100,2770
2023-03-31T08:45:08.890Z,100,2760
2023-03-31T08:45:09.892Z,100,2400
2023-03-31T08:45:10.896Z,100,2820
2023-03-31T08:45:11.900Z,100,2740
2023-03-31T08:45:12.900Z,100,3840
2023-03-31T08:45:13.900Z,100,2540
2023-03-31T08:45:14.904Z,100,2450
2023-03-31T08:45:15.904Z,100,2920
2023-03-31T08:45:16.906Z,100,2850
2023-03-31T08:45:17.908Z,100,3860
2023-03-31T08:45:18.908Z,100,3030
2023-03-31T08:45:19.912Z,100,2680
2023-03-31T08:45:20.912Z,100,2910
2023-03-31T08:45:21.916Z,100,3080
2023-03-31T08:45:22.920Z,100,2760
2023-03-31T08:45:23.924Z,100,2800
2023-03-31T08:45:24.924Z,100,2710
2023-03-31T08:45:25.929Z,100,3260
2023-03-31T08:45:26.932Z,100,2950
2023-03-31T08:45:27.936Z,100,2570
2023-03-31T08:45:28.940Z,100,3080
2023-03-31T08:45:29.942Z,100,2740
2023-03-31T08:45:30.944Z,100,2810
2023-03-31T08:45:31.948Z,100,2410
2023-03-31T08:45:32.950Z,100,2840
2023-03-31T08:45:33.952Z,100,3210
2023-03-31T08:45:34.956Z,100,2910
2023-03-31T08:45:35.957Z,100,3090
2023-03-31T08:45:36.960Z,100,2680
2023-03-31T08:45:37.964Z,100,3850
2023-03-31T08:45:38.968Z,100,3610
2023-03-31T08:45:39.972Z,100,3570
2023-03-31T08:45:40.974Z,100,3860
2023-03-31T08:45:41.976Z,100,2740
2023-03-31T08:45:42.980Z,100,2580
2023-03-31T08:45:43.984Z,100,3070
2023-03-31T08:45:44.988Z,100,4070
2023-03-31T08:45:45.992Z,100,2680
2023-03-31T08:45:46.996Z,100,3160
2023-03-31T08:45:47.999Z,100,4040
2023-03-31T08:45:48.999Z,100,2770
2023-03-31T08:45:50.000Z,100,3590
2023-03-31T08:45:51.004Z,100,3030
2023-03-31T08:45:52.008Z,100,3190
2023-03-31T08:45:53.012Z,100,4010
2023-03-31T08:45:54.012Z,100,4060
2023-03-31T08:45:55.014Z,100,3900
2023-03-31T08:45:56.016Z,100,3970
2023-03-31T08:45:57.020Z,100,3500
2023-03-31T08:45:58.024Z,100,3210
2023-03-31T08:45:59.028Z,100,3560
2023-03-31T08:46:00.028Z,100,2420
2023-03-31T08:46:01.028Z,100,4800
2023-03-31T08:46:02.028Z,100,4760
2023-03-31T08:46:03.030Z,100,3820
2023-03-31T08:46:04.032Z,100,3000
2023-03-31T08:46:05.036Z,100,3450
2023-03-31T08:46:06.040Z,100,2480
2023-03-31T08:46:07.044Z,100,2460
2023-03-31T08:46:08.047Z,100,2910
2023-03-31T08:46:09.048Z,100,2430
2023-03-31T08:46:10.052Z,100,3350
2023-03-31T08:46:11.056Z,100,2550
2023-03-31T08:46:12.059Z,100,3440
2023-03-31T08:46:13.061Z,100,3530
2023-03-31T08:46:14.064Z,100,2400
2023-03-31T08:46:15.068Z,100,2660
2023-03-31T08:46:16.072Z,100,2370
2023-03-31T08:46:17.076Z,100,4430
2023-03-31T08:46:18.078Z,100,3590
2023-03-31T08:46:19.083Z,100,3800
2023-03-31T08:46:20.084Z,100,3030
2023-03-31T08:46:21.088Z,100,3570
2023-03-31T08:46:22.088Z,100,4160
2023-03-31T08:46:23.092Z,100,3060
